dataset,condition,P@200,full_mAP,mAP@200_all_relevant,mAP@200_min_relevant_k,mAP@200_prefix_positive,mask_status_counts
sketchy_104_21,clean,0.5495348081258434,0.5158443483724316,0.14286929765196987,0.4281478006759094,0.5681921911614956,"{""unmasked"": 12694}"
sketchy_104_21,mask_f25_s101,0.49292853814189513,0.4676228596375322,0.1234242134207031,0.37295007069707736,0.5097561421077356,"{""ok"": 12694}"
sketchy_104_21,mask_f25_s202,0.4929880154482276,0.4681741387273853,0.1240144843421148,0.3731827205813943,0.5106705276328778,"{""ok"": 12694}"
sketchy_104_21,mask_f25_s303,0.49023435216491545,0.4652266599788466,0.12261085052397255,0.3697584769628242,0.5081044987986902,"{""ok"": 12694}"
sketchy_104_21,mask_f50_s101,0.4263644149578751,0.4114936267426207,0.10310790650477586,0.31207357316675327,0.4436129169018884,"{""ok"": 12694}"
sketchy_104_21,mask_f50_s202,0.42613123388748486,0.41137320467093214,0.10338075871815627,0.31151140169031033,0.4428216396889376,"{""ok"": 12694}"
sketchy_104_21,mask_f50_s303,0.42222190676864496,0.4079606276220032,0.10189158980711487,0.3081856805360742,0.43899796323448553,"{""ok"": 12694}"
sketchy_104_21,mask_f75_s101,0.3208826933357215,0.32408708031740485,0.07394002217338132,0.22127762727570413,0.33817424492400455,"{""ok"": 12694}"
sketchy_104_21,mask_f75_s202,0.322627612459543,0.324542425633987,0.07453749309856644,0.222390212160527,0.3390531471859058,"{""ok"": 12694}"
sketchy_104_21,mask_f75_s303,0.3208295187817651,0.3237242199445611,0.07394342062582666,0.22110593593319444,0.3366799061703116,"{""ok"": 12694}"
tuberlin_220_30,clean,0.5028541551022014,0.4396614905633032,0.11997771129537048,0.4218314166392649,0.5298112324605851,"{""unmasked"": 2400}"
tuberlin_220_30,mask_f25_s101,0.44892290693009274,0.3971351556146207,0.10838480391591834,0.36957729926333666,0.47141474470787215,"{""ok"": 2400}"
tuberlin_220_30,mask_f25_s202,0.44830207295172536,0.39762502575137965,0.10892737394303159,0.37013350510140375,0.4725653144499908,"{""ok"": 2400}"
tuberlin_220_30,mask_f25_s303,0.4467104063691416,0.39573169538052755,0.10698528440727681,0.3665376984534275,0.4696842834035245,"{""ok"": 2400}"
tuberlin_220_30,mask_f50_s101,0.3805999913714671,0.340898096926976,0.09181002019118854,0.3039458192379326,0.40096581299459405,"{""ok"": 2400}"
tuberlin_220_30,mask_f50_s202,0.38066457508481105,0.3409028417058289,0.09275651351370101,0.30608659258689536,0.4017511977280568,"{""ok"": 2400}"
tuberlin_220_30,mask_f50_s303,0.379704157942906,0.3404255037479258,0.09119842760048517,0.3029679784913439,0.40048986941983455,"{""ok"": 2400}"
tuberlin_220_30,mask_f75_s101,0.2608291606314015,0.24058029458353605,0.059160134415779546,0.19387520640565148,0.2810070850944612,"{""ok"": 2400}"
tuberlin_220_30,mask_f75_s202,0.26132291067857294,0.2416905316252572,0.05932013222360486,0.1942601724084064,0.27945210238453,"{""ok"": 2400}"
tuberlin_220_30,mask_f75_s303,0.261981244062384,0.24247239395859652,0.05975298139911378,0.19575070343071427,0.2792675040188866,"{""ok"": 2400}"
quickdraw_80_30,clean,0.15036655433270998,0.15478658944216914,0.008877689791890082,0.07665718901818885,0.16075776085281487,"{""unmasked"": 92291}"
quickdraw_80_30,mask_f25_s101,0.1357101418471077,0.14331360732350695,0.007765967526142987,0.06697532491910009,0.14753284151861282,"{""ok"": 92291}"
quickdraw_80_30,mask_f25_s202,0.13495237569357235,0.14301861721830847,0.0076677874657237665,0.06619363306263416,0.14637990463128675,"{""ok"": 92291}"
quickdraw_80_30,mask_f25_s303,0.13548032530012777,0.14342831434347733,0.007738151848374329,0.06673476630286022,0.14697400137951508,"{""ok"": 92291}"
quickdraw_80_30,mask_f50_s101,0.11999073298433563,0.1299229369985758,0.006613473102980169,0.05699239656000545,0.1328963737264644,"{""ok"": 92291}"
quickdraw_80_30,mask_f50_s202,0.11994641658962198,0.130172530936033,0.006581607841259581,0.05678333930636958,0.1326803986393823,"{""ok"": 92291}"
quickdraw_80_30,mask_f50_s303,0.11937642604420365,0.12964148720986177,0.006582834969210904,0.05676891010310806,0.1320826343525023,"{""ok"": 92291}"
quickdraw_80_30,mask_f75_s101,0.0990028798039405,0.10961302675157973,0.00522087373684587,0.044610802832154316,0.11453461877053948,"{""ok"": 92291}"
quickdraw_80_30,mask_f75_s202,0.0986796088496207,0.1095662209768123,0.005194872752286867,0.044361178609785105,0.11441094226557019,"{""ok"": 92291}"
quickdraw_80_30,mask_f75_s303,0.09811628200599562,0.10916292353121157,0.005165734909940065,0.04402220084506812,0.11376820949882491,"{""ok"": 92290, ""target_unreachable"": 1}"
